country,_item,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
br,A impact my life,6.406406406406406,13.313313313313312,42.34234234234234,27.927927927927925,10.01001001001001
br,B issues I care about,3.807615230460922,5.511022044088176,30.761523046092183,47.29458917835671,12.625250501002002
br,C profit over truth,3.8,7.8,32.5,36.9,19.0
br,D written to manipulate,5.805805805805806,12.512512512512513,39.73973973973974,30.130130130130127,11.811811811811811
br,E interested in politics,14.014014014014014,13.913913913913914,35.33533533533533,24.124124124124123,12.612612612612612
br,F mainstream accurate,8.80880880880881,23.023023023023022,37.43743743743744,24.024024024024023,6.706706706706707
br,G biased against my views,5.110220440881764,11.723446893787576,48.296593186372746,23.74749498997996,11.122244488977955
br,H trust mainstream,13.026052104208416,23.847695390781563,35.87174348697395,20.34068136272545,6.913827655310621
br,I confident fact-check,3.7037037037037033,8.308308308308309,32.13213213213213,40.94094094094094,14.914914914914915
br,J distinguish fact/opinion,4.004004004004004,7.4074074074074066,32.63263263263263,41.14114114114114,14.814814814814813
br,K determine trustworthy,3.4000000000000004,10.4,32.800000000000004,41.9,11.5
br,L overwhelmed,5.7057057057057055,17.217217217217218,34.93493493493494,30.73073073073073,11.411411411411411
br,M too stressful,6.306306306306306,15.215215215215217,38.53853853853854,29.22922922922923,10.71071071071071
br,N excited new ways,3.807615230460922,7.214428857715431,38.77755511022044,37.97595190380761,12.224448897795591
br,O excited traditional ways,6.024096385542169,12.14859437751004,41.265060240963855,30.522088353413658,10.040160642570282
br,P hopeful view,11.033099297893681,23.470411233701103,35.70712136409227,22.768304914744235,7.021063189568706
in,A impact my life,4.509018036072145,10.721442885771543,37.87575150300601,33.06613226452906,13.827655310621243
in,B issues I care about,3.1031031031031033,7.307307307307307,33.83383383383383,38.53853853853854,17.217217217217218
in,C profit over truth,2.6,7.000000000000001,31.3,35.099999999999994,24.0
in,D written to manipulate,3.1031031031031033,7.707707707707708,36.83683683683684,34.234234234234236,18.11811811811812
in,E interested in politics,10.299999999999999,14.2,29.299999999999997,29.799999999999997,16.400000000000002
in,F mainstream accurate,4.804804804804805,13.713713713713712,37.13713713713714,30.23023023023023,14.114114114114114
in,G biased against my views,4.308617234468938,11.122244488977955,41.98396793587174,27.354709418837675,15.230460921843688
in,H trust mainstream,5.505505505505505,10.31031031031031,34.93493493493494,34.33433433433433,14.914914914914915
in,I confident fact-check,2.5025025025025025,7.4074074074074066,34.434434434434436,37.13713713713714,18.51851851851852
in,J distinguish fact/opinion,3.203203203203203,6.006006006006006,35.93593593593594,37.93793793793794,16.916916916916914
in,K determine trustworthy,3.006012024048096,7.214428857715431,32.965931863727455,39.278557114228455,17.535070140280563
in,L overwhelmed,4.504504504504505,8.708708708708707,36.03603603603604,33.033033033033036,17.71771771771772
in,M too stressful,3.7037037037037033,7.807807807807808,31.631631631631627,36.03603603603604,20.82082082082082
in,N excited new ways,3.203203203203203,5.005005005005005,34.034034034034036,38.83883883883884,18.91891891891892
in,O excited traditional ways,4.208416833667335,8.016032064128256,35.671342685370746,32.66533066132264,19.438877755511022
